brand,laptop_name,display_size,processor_type,graphics_card,disk_space,discount_price,old_price,ratings_5max,id
Dell,Inspiron 15 5570,15.6, Intel Core i5-8250U, AMD Radeon 530 (2 GB), 1 TB HDD,2939,2939,4.0 / 5,186
Dell,Inspiron 15 3567,15.6, Intel Core i5-8250U, AMD Radeon 520 (2 GB), 1 TB HDD,2549,2549,0 / 5,187
Lenovo,IdeaPad 320-15IKBRA,15.6, Intel Core i5-8250U, AMD Radeon 530 (2 GB), 1 TB HDD,2519,2519,4.2 / 5,188
Lenovo,IdeaPad 320-14ISK,14, Intel Core i3-6006U, Intel GMA HD, 1 TB HDD,1779,1779,0 / 5,189
Asus,ZenBook UX430UN Ultrabook,14, Intel Core i5-8250U, NVIDIA GeForce MX150 (2 GB), 256 GB SSD,3779,3779,0 / 5,190
HP,Pavilion 15-cc006nx,15.6, Intel Core i7-7500U, NVIDIA GeForce 940MX (2 GB), 8 GB (Cache Flash)/1 TB HDD,3459,3459,0 / 5,191
Dell,Inspiron 15 3567,15.6, Intel Core i3-6006U, Intel GMA HD, 1 TB HDD,1889,1889,0 / 5,192
Dell,Inspiron 15 3567,15.6, Intel Core i5-7200U, AMD Radeon R5-M340 (2 GB), 1 TB HDD,2469,2469,0 / 5,193
HP,ENVY 13-ab000nx,13.3, Intel Core i5-7200U, Intel GMA HD, 256 GB PCIe NVMe M.2 SSD,3779,3779,0 / 5,194
Apple,MacBook Pro (Retina + Touch Bar),13.3, Intel Core i5 Dual Core, Intel Iris Graphics 550, 256 GB SSD,7768.95,7768.95,0 / 5,195
HP,,15.6, Intel Core i5-7200U, AMD Radeon 520 (2 GB), 1 TB HDD,2419,2419,0 / 5,196
HP,Pavilion 15-cc002nx,15.6, Intel Core i7-7500U, NVIDIA GeForce 940MX (2 GB), 8 GB (Cache Flash)/1 TB HDD,3459,3459,0 / 5,197
Apple,MacBook Pro (Retina),13.3, Intel Core i5 Dual Core, Intel Iris Plus Graphics 640, 256 GB SSD,6499,6499,4.6 / 5,198
HP,ENVY 13-ad100nx,13.3, Intel Core i7-8550U, Intel HD Graphics 620, 512 GB NVMe M.2 SSD,4829,4829,4.0 / 5,199
Dell,Inspiron 15 3567,15.6, Intel Core i5-7200U, AMD Radeon R5-M430 (2 GB), 1 TB HDD,2249,2249,3.3 / 5,200
Lenovo,IdeaPad 320-15IKBRN,15.6, Intel Core i5-8250U, Intel GMA HD, 1 TB HDD,2099,2099,3.8 / 5,201
Huawei,MateBook D,15.6, Intel Core i7-8550U, NVIDIA GeForce MX150 (2 GB), 128 GB SSD/1 TB HDD,3299,3299,4.0 / 5,202
Apple,MacBook Pro (Retina + Touch Bar),15.4, Intel Core i7 6 Core, Radeon Pro 555X GDDR5 (4 GB), 256 GB SSD,10199,10199,0 / 5,203
Apple,MacBook Pro (Retina + Touch Bar),15.4, Intel Core i7 6 Core, Radeon Pro 560X GDDR5 (4 GB), 512 GB SSD,11899,11899,4.4 / 5,204
Dell,Inspiron 15 3576,15.6, Intel Core i5-8250U, AMD Radeon 520 (2 GB), 1 TB HDD,2299,2299,0 / 5,205
